1,Toulouse
2,Chambery
3,Cergy
4,Meudon
5,Annecy
6,Limoges
7,Amneville
8,Francais Volants
9,Clermont
10,Villard
11,Asnieres
12,Valence
13,Roanne
14,Evry
15,Strasbourg
16,Avignon
17,Wasquehal
18,Marseille
